id,nombre_contenedor,tipo,estado,descripcionC,created_at,updated_at,empresa_id,generador_id,telemetria_id,set_point,latitud,longitud,ultima_fecha,temp_supply_1,temp_supply_2,return_air,evaporation_coil,condensation_coil,compress_coil_1,compress_coil_2,ambient_air,cargo_1_temp,cargo_2_temp,cargo_3_temp,cargo_4_temp,relative_humidity,avl,suction_pressure,discharge_pressure,line_voltage,line_frequency,consumption_ph_1,consumption_ph_2,consumption_ph_3,co2_reading,o2_reading,evaporator_speed,condenser_speed,battery_voltage,power_kwh,power_trip_reading,power_trip_duration,suction_temp,discharge_temp,supply_air_temp,return_air_temp,dl_battery_temp,dl_battery_charge,power_consumption,power_consumption_avg,alarm_present,capacity_load,power_state,controlling_mode,humidity_control,humidity_set_point,fresh_air_ex_mode,fresh_air_ex_rate,fresh_air_ex_delay,set_point_o2,set_point_co2,defrost_term_temp,defrost_interval,water_cooled_conde,usda_trip,evaporator_exp_valve,suction_mod_valve,hot_gas_valve,economizer_valve,ethylene,stateProcess,stateInyection,timerOfProcess,modelo,alarm_number,NA,ripener_prueba,defrost_prueba,sp_ethyleno,extra_1,extra_2
1,LOSU5037850,Reefer,1,"TOTTUS AGUSTINO","2023-03-17 11:16:26","2023-03-22 17:08:17",2,1,1,-18,-12.0404,-76.9994,"2023-06-06 08:18:57",20,NULL,20,19.7,NULL,NULL,NULL,23.5,-3277,-3277,-3277,-3277,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
2,LOSU5346143,Reefer,1,"METRO RETABLO","2023-03-17 11:16:41","2023-05-02 15:31:47",1,1,2,-30,-11.9341,-77.0571,"2023-06-06 08:17:33",19.9,NULL,19.5,19.2,NULL,NULL,NULL,23.3,-3277,-3277,-3277,-3277,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,"NO OPTIMIZED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
3,ZGRU9015808,Madurador,1,"Nestle Metro Izaguirre","2023-03-17 11:16:56","2024-05-17 13:35:31",50,1,3,-25,-11.9803,-77.1226,"2024-07-19 15:25:16",-17.8,-3277,-1.7,18,20.9,31.2,-3276.9,19.1,0,-38.5,-38.5,-38.5,97,32766,3276.6,3276.6,469,60,0.1,0.2,0.1,25.4,3276.6,0,100,0,13049.8,12995.8,0,3276.6,3276.6,6528.6,6528.6,26.78,0,3.05,2.24,0,100,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,6,0,0,255,255,255,255,0,0,0,0,THERMOKING,0,NA,2,2,0,0,0
4,LOSU2007219,Reefer,1,"METRO CHORRILLOS","2023-03-17 11:17:08","2023-03-22 17:11:53",1,1,4,-24,-12.1729,-77.012,"2023-06-07 02:00:12",16.5,NULL,15.5,14.3,NULL,NULL,NULL,22.4,-3277,-3277,-3277,-3277,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
5,LOSU4723326,Reefer,1,"METRO IZAGUIRRE","2023-03-17 11:17:37","2023-03-22 17:12:27",1,1,5,2,-11.9877,-77.064,"2023-06-01 11:27:38",3.8,NULL,2.4,3.1,NULL,NULL,NULL,24.6,-3277,-3277,-3277,-3277,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
6,ZGRU2212229_1,Reefer,1,"METRO PLAZA NORTE","2023-03-17 11:18:27","2023-11-27 18:09:05",1,1,0,-25,-12.006,-77.0603,"2023-04-18 14:57:25",25.7,NULL,25.9,25.8,NULL,NULL,NULL,37.8,-3277,-3277,-3277,-3277,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,"NO OPTIMIZED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
7,ZGRU2006193,Reefer,1,"TOTTUS QUILCA","2023-03-17 11:19:13","2023-03-22 17:13:41",8,1,7,-2.52,-11.9803,-77.1226,"2024-03-22 12:04:59",26.8,-25.2,25.5,25.7,-51.2,-51.2,-38.5,28.4,-38.5,217.5,154.3,0,65535,65535,3276.6,3276.6,65535,60,11.6,12.5,11.1,25.4,3276.6,0,0,0,13266.7,1262.3,0,3276.6,3276.6,26.8,26.7,32.92,0,0.01,1.85,210,255,0,0,0,254,0,32766,3276.6,3276.6,3276.6,18,6,0,0,255,255,255,255,0,3,0,0,THERMOKING,0,NA,2,2,0,0,0
8,LOSU6682259,Reefer,1,"TOTTUS JOCKEY","2023-03-17 11:19:47","2023-03-22 17:14:14",1,1,8,-25,-12.0852,-76.9803,"2023-07-04 08:19:12",-22.8,NULL,-6.4,-8.3,NULL,NULL,NULL,21.7,-3277,-3277,-3277,-3277,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
9,LOSU6844452,Reefer,1,"TOTTUS PACHACUTEC","2023-03-17 11:19:59","2023-03-17 11:19:59",1,1,9,0,-11.9803,-77.1226,"2023-10-02 18:59:19",23.2,NULL,25.8,23.9,NULL,NULL,NULL,20.6,-3277,-3277,-3277,-3277,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,0,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NA,1,1,0,0,0
10,LOSU3303096,Reefer,1,"METRO HACIENDA","2023-03-17 11:20:20","2023-03-22 17:15:19",1,1,10,-18,-12.0065,-77.0044,"2023-06-07 02:03:55",-23.9,NULL,-13.8,4.8,NULL,NULL,NULL,23.2,-3277,-3277,-3277,-3277,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
